Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,life expentancy at birth,women peace and security index,Military expenditure %ofEconomy,Unemployment rate,prevalence of undernourishment by %,death rate from obesity
South Sudan,2017,1st,120,10,9.7,9.7,10,8.9,6.4,10,10,9.5,9.9,10,9.8,57.365,,2.037349416,11.54300022,,42.38638257
Somalia,2017,2nd,113.4,9.4,10,8.9,8.9,9.3,9.8,9.3,9,9.5,10,10,9.3,56.709,0.555,,5.979000092,,50.82498897
Central African Republic,2017,3rd,112.6,9,9.7,9.1,9.1,10,7.5,9.7,10,9.7,9,10,9.8,52.24,0.474,1.323566457,5.952000141,59.6,64.82201983
Yemen,2017,4th,111.1,9.8,9.5,9.3,9.3,8.2,7.3,9.7,9.6,9.7,9.3,9.4,10,,0.407,,14.03600025,38.9,108.6199963
Sudan,2017,5th,110.6,9,9.7,10,8.5,7.4,8.9,9.8,8.9,9.6,9.3,9.8,9.7,64.881,0.521,3.183156169,12.7329998,20.1,125.1660716
Syria,2017,5th,110.6,9.8,9.9,9.8,8.1,7.7,8.4,9.9,9.2,9.8,8.2,9.8,10,,0.385,,,,111.4711169
Congo Democratic Republic,2017,7th,110,9,9.8,10,8.4,8.4,6.6,9.6,9.5,9.8,9.4,10,9.5,,0.486,,,,
Chad,2017,8th,109.4,9.4,9.8,8,8.5,9.1,8.8,9.1,9.7,9.1,10,9.6,8.3,53.712,0.551,2.151362715,5.886000156,37.5,37.88767568
Afghanistan,2017,9th,107.3,10,8.6,8.4,8.3,7.5,8.2,9.1,9.9,8.5,9.3,9.8,9.7,64.13,0.385,0.906856941,8.836999893,29.8,177.0863961
Iraq,2017,10th,105.4,10,9.6,9.6,6.6,7.3,7.7,9.5,8.2,8.7,8.6,9.9,9.7,70.294,0.5,3.855105544,8.161000252,29,84.07149046
Haiti,2017,11th,105.3,7.7,9.6,6.5,8.7,9.8,8.8,9.7,9.7,7.6,9.5,7.7,10,63.29,0.625,0.000887483,13.98799992,49.3,89.64414639
Guinea,2017,12th,102.4,8.8,9.6,8.6,9.2,7.7,7.4,9.6,9.5,7.7,8.7,8.2,7.4,60.706,0.573,2.332466736,4.485000134,16.5,63.28516947
Nigeria,2017,13th,101.6,9.2,9.6,9.2,8,8.6,7.2,8.6,9.2,8.9,9.1,7.5,6.5,53.95,0.583,0.411707322,7.043000221,13.4,33.53611018
Zimbabwe,2017,13th,101.6,8.1,9.8,7.3,8.6,8.5,7.9,9.2,8.9,8.2,9.1,8.5,7.5,60.812,0.697,1.970583359,5.011000156,51.3,87.43455685
Ethiopia,2017,15th,101.1,8.4,8.7,9.1,7,6.5,7.6,8.2,8.8,9,9.8,9.3,8.7,65.872,0.633,0.659655319,5.203999996,20.6,29.51723345
Guinea Bissau,2017,16th,99.5,8.9,9.6,5.2,8.3,9.1,8.1,9.2,9.4,7.5,8.6,7.3,8.3,,0.573,,,,
Burundi,2017,17th,98.9,8.8,8.2,7.9,8,7.2,6.3,8.8,8,8.8,9.3,8.6,9,60.898,0.603,1.983153562,1.552999973,,28.9108021
Pakistan,2017,17th,98.9,9.1,8.9,10,6.9,6.5,7.2,8.1,7.7,8,8.4,8.7,9.4,66.947,0.441,3.495483162,4.044000149,20.3,94.7716492
Eritrea,2017,19th,98.1,7.2,8.1,7.1,8.1,7.8,8.3,9.3,8.4,9,8.8,8.3,7.7,65.538,,,6.362999916,,59.05770694
Niger,2017,20th,97.4,8.7,8.9,8,7.5,8.5,7.5,7.3,9.5,6.5,9,7.9,8.1,61.599,0.538,2.674758425,0.354000002,16.5,35.35517693
Cote dIvoire,2017,21st,96.5,7.7,9.1,8.1,6.6,8,7.3,7.9,8.7,7.9,8.2,7.8,9.2,57.017,0.604,1.28044343,2.599999905,19,69.67757772
Kenya,2017,22nd,96.4,8.3,8.9,8.9,6.9,7.9,7.6,7.6,8,7,8.9,8.3,8.1,65.909,0.631,1.230707629,11.47000027,29.4,50.6102831
Libya,2017,23rd,96.3,9.6,9.4,8.1,8.5,5.6,6.3,9.5,7,9.1,4.9,8.3,10,72.52,,,17.68400002,,149.2346735
Uganda,2017,24th,96,7.1,8.6,8.5,5.5,7.4,7.6,8.6,8.3,7.8,9,9.3,8.3,62.516,0.654,1.675065968,2.104000092,41,37.68912675
Myanmar,2017,35th,95.7,8.9,8.3,9.7,5.9,7.7,6.4,8.6,8.5,8.9,6.8,8.7,7.3,66.558,0.606,2.483304004,0.79400003,10.6,45.00375173
