Country,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','life expentancy at birth','women peace and security index','Military expenditure \%ofEconomy','Unemployment rate','prevalence of undernourishment by \%','death rate from obesity'
'South Sudan',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'','\'(-inf-60.2049]\'',?,'\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
Somalia,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'','\'(-inf-60.2049]\'','\'(0.5102-0.6355]\'',?,'\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
'Central African Republic',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'','\'(-inf-60.2049]\'','\'(-inf-0.5102]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(45.325-inf)\'','\'(-inf-84.4183]\''
Yemen,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'',?,'\'(-inf-0.5102]\'',?,'\'(13.726-20.528]\'','\'(31.05-45.325]\'','\'(84.4183-154.4194]\''
Sudan,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'','\'(60.2049-68.1699]\'','\'(0.5102-0.6355]\'','\'(3.0188-6.0368]\'','\'(6.924-13.726]\'','\'(16.775-31.05]\'','\'(84.4183-154.4194]\''
Syria,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'',?,'\'(-inf-0.5102]\'',?,?,?,'\'(84.4183-154.4194]\''
'Congo Democratic Republic',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'',?,'\'(-inf-0.5102]\'',?,?,?,?
Chad,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'','\'(-inf-60.2049]\'','\'(0.5102-0.6355]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(31.05-45.325]\'','\'(-inf-84.4183]\''
Afghanistan,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'','\'(60.2049-68.1699]\'','\'(-inf-0.5102]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(16.775-31.05]\'','\'(154.4194-224.4206]\''
Iraq,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\'','\'(68.1699-76.1348]\'','\'(-inf-0.5102]\'','\'(3.0188-6.0368]\'','\'(6.924-13.726]\'','\'(16.775-31.05]\'','\'(-inf-84.4183]\''
